,Year,Laureate_Id_x,Firstname_x,Lastname_x,Category,Prize_Share,Motivation,Name_key,Laureate_Id_y,Firstname_y,Lastname_y,Gender,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country
43,1908,167,Ernest,Rutherford,chemistry,1,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",Ernest Rutherford,167,Ernest,Rutherford,male,1871-08-30,New Zealand,Nelson,NZ,19/10/1937,United Kingdom,Cambridge,GB,Victoria University,Manchester,United Kingdom
44,1908,578,Rudolf,Eucken,literature,1,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",Rudolf Eucken,578,Rudolf,Eucken,male,1846-01-05,East Friesland (now Germany),Aurich,DE,14/09/1926,Germany,Jena,DE,,,
45,1908,474,Fredrik,Bajer,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",Fredrik Bajer,474,Fredrik,Bajer,male,1837-04-21,Denmark,Næstved,DK,22/01/1922,Denmark,Copenhagen,DK,,,
46,1908,301,Ilya,Mechnikov,medicine,2,"""in recognition of their work on immunity""",Ilya Mechnikov,301,Ilya,Mechnikov,male,1845-05-15,Russian Empire (now Ukraine),Kharkov (now Kharkiv),UA,15/07/1916,France,Paris,FR,Institut Pasteur,Paris,France
47,1908,302,Paul,Ehrlich,medicine,2,"""in recognition of their work on immunity""",Paul Ehrlich,302,Paul,Ehrlich,male,1854-03-14,Prussia (now Poland),Strehlen (now Strzelin),PL,20/08/1915,Germany,Bad Homburg vor der Höhe,DE,Goettingen University,Göttingen,Germany
48,1908,473,Klas Pontus,Arnoldson,peace,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",Klas Pontus Arnoldson,473,Klas Pontus,Arnoldson,male,1844-10-27,Sweden,Gothenburg,SE,20/02/1916,Sweden,Stockholm,SE,,,
49,1908,12,Gabriel,Lippmann,physics,1,"""for his method of reproducing colours photographically based on the phenomenon of interference""",Gabriel Lippmann,12,Gabriel,Lippmann,male,1845-08-16,Luxembourg,Hollerich,LU,13/07/1921,,,,Sorbonne University,Paris,France
50,1909,13,Guglielmo,Marconi,physics,2,"""in recognition of their contributions to the development of wireless telegraphy""",Guglielmo Marconi,13,Guglielmo,Marconi,male,1874-04-25,Italy,Bologna,IT,20/07/1937,Italy,Rome,IT,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom
51,1909,303,Theodor,Kocher,medicine,1,"""for his work on the physiology pathology and surgery of the thyroid gland""",Theodor Kocher,303,Theodor,Kocher,male,1841-08-25,Switzerland,Bern,CH,27/07/1917,Switzerland,Bern,CH,Berne University,Bern,Switzerland
52,1909,579,Selma,Lagerlöf,literature,1,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",Selma Lagerlöf,579,Selma,Lagerlöf,female,1858-11-20,Sweden,Mårbacka,SE,16/03/1940,Sweden,Mårbacka,SE,,,
53,1909,168,Wilhelm,Ostwald,chemistry,1,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",Wilhelm Ostwald,168,Wilhelm,Ostwald,male,1853-09-02,Russian Empire (now Latvia),Riga,LV,04/04/1932,Germany,Leipzig,DE,Leipzig University,Leipzig,Germany
54,1909,14,Ferdinand,Braun,physics,2,"""in recognition of their contributions to the development of wireless telegraphy""",Ferdinand Braun,14,Ferdinand,Braun,male,1850-06-06,Hesse-Kassel (now Germany),Fulda,DE,20/04/1918,USA,Brooklyn NY,US,Strasbourg University,Strasbourg,Germany (now France)
55,1909,475,Auguste,Beernaert,peace,2,"""for their prominent position in the international movement for peace and arbitration""",Auguste Beernaert,475,Auguste,Beernaert,male,1829-07-26,Belgium,Ostend,BE,06/10/1912,Switzerland,Lucerne,CH,,,
56,1909,476,Paul Henri,d'Estournelles de Constant,peace,2,"""for their prominent position in the international movement for peace and arbitration""",Paul Henri d'Estournelles de Constant,476,Paul Henri,d'Estournelles de Constant,male,1852-11-22,France,La Flèche,FR,15/05/1924,France,Paris,FR,,,
57,1910,580,Paul,Heyse,literature,1,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",Paul Heyse,580,Paul,Heyse,male,1830-03-15,Prussia (now Germany),Berlin,DE,02/04/1914,Germany,Munich,DE,,,
58,1910,477,Permanent International Peace Bureau,,peace,1,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",,467,Institute of International Law,,org,1873-00-00,,,,0000-00-00,,,,,,
59,1910,15,Johannes Diderik,van der Waals,physics,1,"""for his work on the equation of state for gases and liquids""",Johannes Diderik van der Waals,15,Johannes Diderik,van der Waals,male,1837-11-23,the Netherlands,Leiden,NL,08/03/1923,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands
60,1910,304,Albrecht,Kossel,medicine,1,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",Albrecht Kossel,304,Albrecht,Kossel,male,1853-09-16,Mecklenburg (now Germany),Rostock,DE,05/07/1927,Germany,Heidelberg,DE,University of Heidelberg,Heidelberg,Germany
61,1910,169,Otto,Wallach,chemistry,1,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",Otto Wallach,169,Otto,Wallach,male,1847-03-27,Germany (now Russia),Koenigsberg (now Kaliningrad),RU,26/02/1931,Germany,Göttingen,DE,Goettingen University,Göttingen,Germany
62,1911,479,Alfred,Fried,peace,2,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",Alfred Fried,479,Alfred,Fried,male,1864-11-11,Austria,Vienna,AT,04/05/1921,Austria,Vienna,AT,,,
63,1911,478,Tobias,Asser,peace,2,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",Tobias Asser,478,Tobias,Asser,male,1838-04-28,the Netherlands,Amsterdam,NL,29/07/1913,the Netherlands,the Hague,NL,,,
64,1911,6,Marie,Curie,chemistry,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",Marie Curie,6,Marie,Curie,female,1867-11-07,Russian Empire (now Poland),Warsaw,PL,04/07/1934,France,Sallanches,FR,,,
65,1911,16,Wilhelm,Wien,physics,1,"""for his discoveries regarding the laws governing the radiation of heat""",Wilhelm Wien,16,Wilhelm,Wien,male,1864-01-13,Prussia (now Russia),Gaffken (now Parusnoye),RU,30/08/1928,Germany,Munich,DE,Würzburg University,Würzburg,Germany
66,1911,581,Maurice,Maeterlinck,literature,1,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",Maurice Maeterlinck,581,Maurice,Maeterlinck,male,1862-08-29,Belgium,Ghent,BE,06/05/1949,France,Nice,FR,,,
67,1911,305,Allvar,Gullstrand,medicine,1,"""for his work on the dioptrics of the eye""",Allvar Gullstrand,305,Allvar,Gullstrand,male,1862-06-05,Sweden,Landskrona,SE,28/07/1930,Sweden,Stockholm,SE,Uppsala University,Uppsala,Sweden
68,1912,582,Gerhart,Hauptmann,literature,1,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",Gerhart Hauptmann,582,Gerhart,Hauptmann,male,1862-11-15,Prussia (now Poland),Bad Salzbrunn,PL,06/06/1946,Germany (now Poland),Agnetendorf (now Jagniatków),PL,,,
69,1912,306,Alexis,Carrel,medicine,1,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",Alexis Carrel,306,Alexis,Carrel,male,1873-06-28,France,Sainte-Foy-lès-Lyon,FR,05/11/1944,France,Paris,FR,Rockefeller Institute for Medical Research,New York NY,USA
70,1912,173,Paul,Sabatier,chemistry,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",Paul Sabatier,173,Paul,Sabatier,male,1854-11-05,France,Carcassonne,FR,14/08/1941,France,Toulouse,FR,Toulouse University,Toulouse,France
71,1912,172,Victor,Grignard,chemistry,2,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",Victor Grignard,172,Victor,Grignard,male,1871-05-06,France,Cherbourg,FR,13/12/1935,France,Lyon,FR,Nancy University,Nancy,France
72,1912,17,Gustaf,Dalén,physics,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",Gustaf Dalén,17,Gustaf,Dalén,male,1869-11-30,Sweden,Stenstorp,SE,09/12/1937,Sweden,Stockholm,SE,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden
73,1912,480,Elihu,Root,peace,1,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",Elihu Root,480,Elihu,Root,male,1845-02-15,USA,Clinton NY,US,07/02/1937,USA,New York NY,US,,,
74,1913,307,Charles,Richet,medicine,1,"""in recognition of his work on anaphylaxis""",Charles Richet,307,Charles,Richet,male,1850-08-26,France,Paris,FR,04/12/1935,France,Paris,FR,Sorbonne University,Paris,France
75,1913,174,Alfred,Werner,chemistry,1,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",Alfred Werner,174,Alfred,Werner,male,1866-12-12,France,Mulhouse,FR,15/11/1919,Switzerland,Zurich,CH,University of Zurich,Zurich,Switzerland
76,1913,481,Henri,La Fontaine,peace,1,"""for his unparalleled contribution to the organization of peaceful internationalism""",Henri La Fontaine,481,Henri,La Fontaine,male,1854-04-22,Belgium,Brussels,BE,14/05/1943,Belgium,Brussels,BE,,,
77,1913,583,Rabindranath,Tagore,literature,1,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",Rabindranath Tagore,583,Rabindranath,Tagore,male,1861-05-07,India,Calcutta,IN,07/08/1941,India,Calcutta,IN,,,
78,1913,18,Heike,Kamerlingh Onnes,physics,1,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",Heike Kamerlingh Onnes,18,Heike,Kamerlingh Onnes,male,1853-09-21,the Netherlands,Groningen,NL,21/02/1926,the Netherlands,Leiden,NL,Leiden University,Leiden,the Netherlands
79,1914,19,Max,von Laue,physics,1,"""for his discovery of the diffraction of X-rays by crystals""",Max von Laue,19,Max,von Laue,male,1879-10-09,Germany,Pfaffendorf,DE,23/04/1960,West Germany (now Germany),Berlin,DE,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany
80,1914,308,Robert,Bárány,medicine,1,"""for his work on the physiology and pathology of the vestibular apparatus""",Robert Bárány,308,Robert,Bárány,male,1876-04-22,Austria,Vienna,AT,08/04/1936,Sweden,Uppsala,SE,Vienna University,Vienna,Austria
81,1914,175,Theodore W.,Richards,chemistry,1,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",Theodore W. Richards,175,Theodore W.,Richards,male,1868-01-31,USA,Germantown PA,US,02/04/1928,USA,Cambridge MA,US,Harvard University,Cambridge MA,USA
82,1915,20,William,Bragg,physics,2,"""for their services in the analysis of crystal structure by means of X-rays""",William Bragg,20,William,Bragg,male,1862-07-02,United Kingdom,Wigton,GB,12/03/1942,United Kingdom,London,GB,University College,London,United Kingdom
83,1915,21,Lawrence,Bragg,physics,2,"""for their services in the analysis of crystal structure by means of X-rays""",Lawrence Bragg,21,Lawrence,Bragg,male,1890-03-31,Australia,Adelaide,AU,01/07/1971,United Kingdom,Ipswich,GB,Victoria University,Manchester,United Kingdom
